sex,occ,sex_sp,occ_sp,total
1,241,2,252,1
1,241,2,311,2
1,241,2,312,4
1,241,2,315,1
1,241,2,331,3
1,241,2,334,2
1,241,2,335,3
1,241,2,343,1
1,241,2,351,1
1,241,2,411,1
1,241,2,412,2
1,241,2,422,1
1,241,2,511,2
1,241,2,515,1
1,241,2,523,1
1,241,2,541,6
1,241,2,711,1
1,241,2,833,1
1,241,2,931,1
1,241,2,3100,1
1,241,2,5000,5
1,241,2,6000,3
1,242,2,112,2
1,242,2,132,2
1,242,2,134,2
1,242,2,143,1
1,242,2,216,1
1,242,2,261,1
1,242,2,265,1
1,242,2,311,1
1,242,2,313,1
1,242,2,315,1
1,242,2,334,1
1,242,2,343,2
1,242,2,351,2
1,242,2,411,1
1,242,2,541,1
1,242,2,3100,1
1,242,2,4000,1
1,243,2,112,1
1,243,2,132,1
1,243,2,141,1
1,243,2,142,1
1,243,2,352,1
1,243,2,5000,1
1,251,2,112,1
1,251,2,121,1
1,251,2,133,1
1,251,2,251,1
1,251,2,2000,1
1,252,2,133,1
1,252,2,214,1
1,261,2,112,5
1,261,2,121,1
1,261,2,122,3
1,261,2,132,2
1,261,2,142,1
1,261,2,211,1
1,261,2,212,1
1,261,2,221,1
1,261,2,251,1
1,261,2,261,3
1,261,2,315,2
1,261,2,334,3
1,261,2,335,5
1,261,2,341,1
1,261,2,342,2
1,261,2,351,2
1,261,2,411,2
1,261,2,421,1
1,261,2,541,3
1,261,2,911,2
1,261,2,2100,2
1,261,2,3100,3
1,262,2,111,1
1,262,2,112,2
1,262,2,132,1
1,262,2,134,2
1,262,2,142,1
1,262,2,143,1
1,262,2,230,2
1,262,2,241,1
1,262,2,263,1
1,262,2,264,1
1,262,2,313,1
1,262,2,325,1
1,262,2,332,1
1,262,2,334,9
1,262,2,335,1
1,262,2,341,3
1,262,2,351,1
1,262,2,421,1
1,262,2,432,1
1,262,2,513,1
1,262,2,541,3
1,262,2,622,3
1,262,2,832,1
1,262,2,833,1
1,262,2,835,1
1,262,2,911,2
1,262,2,931,1
1,262,2,933,1
1,262,2,3100,2
1,262,2,6000,1
1,263,2,111,2
1,263,2,112,3
1,263,2,122,1
1,263,2,142,2
1,263,2,143,1
1,263,2,242,2
1,263,2,261,1
1,263,2,315,3
1,263,2,325,1
1,263,2,334,1
1,263,2,351,2
1,263,2,411,3
1,263,2,422,1
1,263,2,522,3
1,263,2,523,3
1,263,2,541,3
1,263,2,611,3
1,263,2,622,5
1,263,2,711,3
1,263,2,731,1
1,263,2,835,1
1,263,2,911,1
1,263,2,3000,3
1,263,2,5000,2
1,263,2,9000,2
1,264,2,112,5
1,264,2,121,1
1,264,2,122,1
1,264,2,142,3
1,264,2,143,1
1,264,2,216,1
1,264,2,241,1
1,264,2,264,2
1,264,2,331,1
1,264,2,334,2
1,264,2,335,2
1,264,2,342,1
1,264,2,352,2
1,264,2,432,1
1,264,2,541,4
1,264,2,833,1
1,264,2,835,1
1,264,2,1100,1
1,264,2,3000,1
1,264,2,3100,1
1,264,2,5000,1
1,265,2,112,1
1,265,2,121,1
1,265,2,122,1
1,265,2,132,2
1,265,2,134,1
1,265,2,265,4
1,265,2,313,1
1,265,2,315,1
1,265,2,332,2
1,265,2,334,1
1,265,2,411,1
1,265,2,541,4
1,265,2,741,1
1,265,2,832,1
1,265,2,911,1
1,265,2,933,1
1,265,2,962,1
1,265,2,6000,1
1,311,2,142,1
1,311,2,143,1
1,311,2,311,1
1,311,2,335,1
1,311,2,513,1
1,311,2,522,1
1,311,2,622,1
1,311,2,6000,1
1,312,2,112,1
1,312,2,122,1
1,312,2,325,1
1,312,2,711,1
1,312,2,2000,1
1,312,2,5000,1
1,312,2,6000,2
1,313,2,541,1
1,313,2,622,1
1,315,2,142,2
1,315,2,143,2
1,315,2,216,1
1,315,2,315,3
1,315,2,351,1
1,315,2,421,1
1,315,2,432,1
1,315,2,541,1
1,315,2,911,2
1,321,2,121,4
1,321,2,122,2
1,321,2,132,3
1,321,2,133,1
1,321,2,134,2
1,321,2,141,1
1,321,2,142,3
1,321,2,230,3
1,321,2,233,1
1,321,2,234,1
1,321,2,243,1
1,321,2,261,1
1,321,2,264,1
1,321,2,311,1
1,321,2,315,4
1,321,2,321,3
1,321,2,332,1
1,321,2,334,3
1,321,2,335,2
1,321,2,343,3
1,321,2,351,2
1,321,2,352,1
1,321,2,411,1
1,321,2,422,1
1,321,2,432,2
1,321,2,441,1
1,321,2,511,2
1,321,2,522,1
1,321,2,523,1
1,321,2,541,9
1,321,2,622,2
1,321,2,711,1
1,321,2,754,1
1,321,2,832,1
1,321,2,833,1
1,321,2,835,1
1,321,2,933,3
1,321,2,2000,1
1,321,2,2100,2
1,321,2,3100,2
1,321,2,5000,1
1,321,2,6000,5
1,322,2,111,5
1,322,2,112,6
1,322,2,121,1
1,322,2,122,3
1,322,2,132,3
1,322,2,134,10
1,322,2,141,4
1,322,2,142,10
1,322,2,143,2
1,322,2,216,1
1,322,2,221,1
1,322,2,222,1
1,322,2,224,1
1,322,2,226,1
1,322,2,230,2
1,322,2,231,1
1,322,2,233,3
1,322,2,235,5
1,322,2,241,2
1,322,2,261,1
1,322,2,263,1
1,322,2,264,1
1,322,2,311,4
1,322,2,312,2
1,322,2,313,1
1,322,2,315,5
1,322,2,321,5
1,322,2,322,4
1,322,2,325,2
1,322,2,331,1
1,322,2,332,4
1,322,2,334,3
1,322,2,335,6
1,322,2,342,2
1,322,2,343,1
1,322,2,351,1
1,322,2,352,1
1,322,2,411,11
1,322,2,421,2
1,322,2,422,3
1,322,2,431,1
1,322,2,432,1
1,322,2,441,2
1,322,2,511,1
1,322,2,513,2
1,322,2,515,1
1,322,2,522,11
1,322,2,523,1
1,322,2,524,1
1,322,2,541,14
1,322,2,611,2
1,322,2,622,6
1,322,2,711,5
1,322,2,712,2
1,322,2,721,1
1,322,2,722,1
1,322,2,731,1
1,322,2,732,2
1,322,2,741,1
1,322,2,742,1
1,322,2,753,2
1,322,2,754,2
1,322,2,832,7
1,322,2,833,1
1,322,2,835,3
1,322,2,911,12
1,322,2,931,2
1,322,2,933,1
1,322,2,941,1
1,322,2,1100,2
1,322,2,2000,7
1,322,2,2100,3
1,322,2,3000,4
1,322,2,3100,8
1,322,2,5000,9
1,322,2,6000,33
1,323,2,112,1
1,323,2,522,1
1,323,2,622,4
1,323,2,832,1
1,323,2,911,3
1,323,2,3000,1
1,323,2,5000,1
1,323,2,6000,2
1,325,2,111,5
1,325,2,112,9
1,325,2,121,3
1,325,2,122,4
1,325,2,132,1
1,325,2,134,6
1,325,2,141,1
1,325,2,142,7
1,325,2,143,2
1,325,2,214,2
1,325,2,215,1
1,325,2,216,1
1,325,2,221,1
1,325,2,226,1
1,325,2,230,5
1,325,2,233,3
1,325,2,234,3
1,325,2,241,1
1,325,2,261,2
1,325,2,263,1
1,325,2,311,9
1,325,2,312,3
1,325,2,313,3
1,325,2,315,5
1,325,2,325,7
1,325,2,334,12
1,325,2,335,1
1,325,2,341,4
1,325,2,342,4
1,325,2,343,2
1,325,2,351,7
1,325,2,352,2
1,325,2,411,19
1,325,2,421,1
1,325,2,422,2
1,325,2,431,5
1,325,2,432,3
1,325,2,511,3
1,325,2,512,1
1,325,2,513,1
1,325,2,515,2
1,325,2,522,5
1,325,2,524,1
1,325,2,541,18
1,325,2,611,2
1,325,2,622,21
1,325,2,711,15
1,325,2,712,2
1,325,2,723,2
1,325,2,741,2
1,325,2,742,1
1,325,2,751,1
1,325,2,818,1
1,325,2,832,10
1,325,2,833,3
1,325,2,835,2
1,325,2,911,16
1,325,2,931,2
1,325,2,932,1
1,325,2,933,3
1,325,2,941,1
1,325,2,2000,5
1,325,2,2100,2
1,325,2,3000,10
1,325,2,3100,7
1,325,2,4000,1
1,325,2,5000,7
1,325,2,6000,30
1,325,2,9000,2
1,331,2,111,2
1,331,2,112,13
1,331,2,121,4
1,331,2,122,4
1,331,2,132,2
1,331,2,133,1
1,331,2,134,4
1,331,2,141,2
1,331,2,142,10
1,331,2,143,2
1,331,2,214,6
1,331,2,216,1
1,331,2,230,2
1,331,2,231,1
1,331,2,241,3
1,331,2,263,2
1,331,2,265,1
1,331,2,311,2
1,331,2,315,1
1,331,2,331,10
1,331,2,332,2
1,331,2,334,8
1,331,2,335,3
1,331,2,342,1
1,331,2,343,1
1,331,2,351,1
1,331,2,411,4
1,331,2,421,2
1,331,2,422,1
1,331,2,431,3
1,331,2,432,3
1,331,2,441,2
1,331,2,511,7
1,331,2,522,3
1,331,2,541,16
1,331,2,622,3
1,331,2,711,2
1,331,2,721,1
1,331,2,722,1
1,331,2,723,3
1,331,2,732,1
1,331,2,741,1
1,331,2,742,1
1,331,2,832,3
1,331,2,911,3
1,331,2,933,1
1,331,2,1100,1
1,331,2,2000,2
1,331,2,2100,2
1,331,2,3000,2
1,331,2,3100,6
1,331,2,5000,1
1,331,2,6000,1
1,332,2,111,1
1,332,2,112,2
1,332,2,121,1
1,332,2,142,2
1,332,2,143,1
1,332,2,216,1
1,332,2,261,2
1,332,2,263,1
1,332,2,311,1
1,332,2,315,6
1,332,2,332,2
1,332,2,334,1
1,332,2,335,1
1,332,2,351,2
1,332,2,352,1
1,332,2,411,3
1,332,2,422,1
1,332,2,431,1
1,332,2,432,1
1,332,2,511,1
1,332,2,515,1
1,332,2,541,8
1,332,2,723,2
1,332,2,911,1
1,332,2,933,1
1,332,2,2000,2
1,332,2,3000,1
1,332,2,3100,4
1,333,2,112,2
1,333,2,122,1
1,333,2,132,1
1,333,2,230,1
1,333,2,411,1
1,333,2,6000,1
1,334,2,111,12
1,334,2,112,39
1,334,2,121,10
1,334,2,122,6
1,334,2,132,13
1,334,2,134,9
1,334,2,141,8
1,334,2,142,17
1,334,2,143,3
1,334,2,212,1
1,334,2,214,3
1,334,2,216,7
1,334,2,230,3
1,334,2,231,3
1,334,2,235,2
1,334,2,241,4
1,334,2,243,3
1,334,2,251,1
1,334,2,261,4
1,334,2,264,1
1,334,2,265,1
1,334,2,311,8
1,334,2,312,3
1,334,2,313,2
1,334,2,315,8
1,334,2,325,2
1,334,2,331,3
1,334,2,332,1
1,334,2,334,32
1,334,2,335,9
1,334,2,341,2
1,334,2,342,2
1,334,2,351,13
1,334,2,352,4
1,334,2,411,15
1,334,2,421,2
1,334,2,422,2
1,334,2,431,2
1,334,2,432,3
