sex,occ,sex_sp,occ_sp,total
1,321,2,541,300
1,321,2,711,100
1,321,2,832,100
1,321,2,933,100
1,321,2,5000,100
1,321,2,6000,400
1,322,2,11,200
1,322,2,21,300
1,322,2,31,800
1,322,2,111,300
1,322,2,112,400
1,322,2,122,300
1,322,2,132,300
1,322,2,134,600
1,322,2,141,200
1,322,2,142,800
1,322,2,143,200
1,322,2,216,100
1,322,2,221,100
1,322,2,222,100
1,322,2,224,100
1,322,2,226,100
1,322,2,230,200
1,322,2,231,100
1,322,2,233,300
1,322,2,235,400
1,322,2,241,200
1,322,2,261,100
1,322,2,263,100
1,322,2,311,300
1,322,2,312,200
1,322,2,315,400
1,322,2,321,500
1,322,2,322,400
1,322,2,325,200
1,322,2,331,100
1,322,2,332,300
1,322,2,334,300
1,322,2,335,300
1,322,2,342,200
1,322,2,343,100
1,322,2,352,100
1,322,2,411,900
1,322,2,421,200
1,322,2,422,100
1,322,2,431,100
1,322,2,441,200
1,322,2,511,100
1,322,2,515,100
1,322,2,522,800
1,322,2,524,100
1,322,2,541,1000
1,322,2,611,200
1,322,2,622,100
1,322,2,711,400
1,322,2,712,100
1,322,2,721,100
1,322,2,722,100
1,322,2,731,100
1,322,2,732,200
1,322,2,742,100
1,322,2,753,200
1,322,2,754,100
1,322,2,832,700
1,322,2,833,100
1,322,2,835,100
1,322,2,911,1000
1,322,2,2000,600
1,322,2,3000,400
1,322,2,5000,800
1,322,2,6000,3200
1,323,2,112,100
1,323,2,323,100
1,323,2,522,100
1,323,2,611,100
1,323,2,622,300
1,323,2,911,200
1,323,2,5000,200
1,323,2,6000,200
1,325,2,21,100
1,325,2,31,400
1,325,2,111,100
1,325,2,112,700
1,325,2,121,300
1,325,2,122,200
1,325,2,132,100
1,325,2,134,500
1,325,2,141,100
1,325,2,142,500
1,325,2,143,200
1,325,2,214,100
1,325,2,216,100
1,325,2,221,100
1,325,2,226,100
1,325,2,230,300
1,325,2,233,100
1,325,2,234,300
1,325,2,241,100
1,325,2,261,200
1,325,2,263,100
1,325,2,311,600
1,325,2,312,300
1,325,2,313,200
1,325,2,315,300
1,325,2,325,700
1,325,2,334,600
1,325,2,335,100
1,325,2,341,400
1,325,2,342,200
1,325,2,343,200
1,325,2,351,200
1,325,2,352,100
1,325,2,411,800
1,325,2,431,400
1,325,2,432,100
1,325,2,511,200
1,325,2,513,100
1,325,2,522,200
1,325,2,541,1400
1,325,2,611,200
1,325,2,622,1300
1,325,2,711,1000
1,325,2,712,200
1,325,2,741,100
1,325,2,751,100
1,325,2,818,100
1,325,2,832,700
1,325,2,833,100
1,325,2,835,200
1,325,2,911,900
1,325,2,931,100
1,325,2,932,100
1,325,2,933,200
1,325,2,941,100
1,325,2,2000,100
1,325,2,3000,400
1,325,2,5000,500
1,325,2,6000,3000
1,325,2,9000,100
1,331,2,31,400
1,331,2,111,200
1,331,2,112,1200
1,331,2,121,200
1,331,2,122,300
1,331,2,132,100
1,331,2,134,300
1,331,2,141,200
1,331,2,142,600
1,331,2,143,100
1,331,2,214,500
1,331,2,230,100
1,331,2,241,300
1,331,2,263,100
1,331,2,311,200
1,331,2,331,600
1,331,2,332,200
1,331,2,334,700
1,331,2,335,200
1,331,2,342,100
1,331,2,351,100
1,331,2,411,200
1,331,2,421,200
1,331,2,422,100
1,331,2,432,300
1,331,2,441,100
1,331,2,511,200
1,331,2,522,200
1,331,2,541,700
1,331,2,622,100
1,331,2,711,200
1,331,2,721,100
1,331,2,723,300
1,331,2,732,100
1,331,2,741,100
1,331,2,742,100
1,331,2,832,200
1,331,2,911,200
1,331,2,933,100
1,331,2,5000,100
1,331,2,6000,100
1,332,2,31,300
1,332,2,111,100
1,332,2,112,200
1,332,2,121,100
1,332,2,261,200
1,332,2,311,100
1,332,2,315,500
1,332,2,332,200
1,332,2,351,200
1,332,2,352,100
1,332,2,411,200
1,332,2,422,100
1,332,2,432,100
1,332,2,511,100
1,332,2,541,400
1,332,2,911,100
1,332,2,933,100
1,332,2,2000,200
1,332,2,3000,100
1,333,2,112,200
1,333,2,132,100
1,333,2,230,100
1,333,2,6000,100
1,334,2,21,100
1,334,2,31,400
1,334,2,111,800
1,334,2,112,3300
1,334,2,121,600
1,334,2,122,200
1,334,2,132,1100
1,334,2,134,900
1,334,2,141,600
1,334,2,142,900
1,334,2,143,300
1,334,2,212,100
1,334,2,214,300
1,334,2,216,400
1,334,2,230,200
1,334,2,231,300
1,334,2,235,200
1,334,2,241,200
1,334,2,243,300
1,334,2,251,100
1,334,2,261,400
1,334,2,265,100
1,334,2,311,300
1,334,2,312,300
1,334,2,313,200
1,334,2,315,600
1,334,2,325,100
1,334,2,331,100
1,334,2,334,2100
1,334,2,335,600
1,334,2,341,100
1,334,2,342,100
1,334,2,351,800
1,334,2,352,200
1,334,2,411,900
1,334,2,431,100
1,334,2,432,200
1,334,2,441,100
1,334,2,511,300
1,334,2,522,300
1,334,2,523,200
1,334,2,524,200
1,334,2,541,1600
1,334,2,622,300
1,334,2,711,700
1,334,2,723,100
1,334,2,731,100
1,334,2,732,100
1,334,2,741,100
1,334,2,742,100
1,334,2,832,500
1,334,2,833,100
1,334,2,911,100
1,334,2,931,100
1,334,2,933,300
1,334,2,962,200
1,334,2,2000,500
1,334,2,3000,200
1,334,2,5000,200
1,334,2,6000,1400
1,334,2,9999,100
1,335,2,21,100
1,335,2,31,200
1,335,2,111,100
